prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,0,0,37.64484705359042,11.311174134354264,36.57935691002568,0.4807575757575758,0.011020058512707997,0.4833333333333333,55.0,4.642796092394704,54.0,11.2,0.42163702135578396,11.0,1.3060174005681817,0.03865459294285913,1.301904296875,1.927049472096917,0.09843384137839581,1.9113553952450466,31.22970538297263,44.29675401951004,0.4740909090909091,0.4868181818181818,52.5,58.0,11.0,11.5,1.2840906982421876,1.329073097922585,1.872494649770307,1.9881431624852708
descriptive_baseline,0,1,-43.05360121501793,30.00838187507476,-34.79693320938806,0.12303030303030296,0.017507122459226906,0.12272727272727266,14.1,2.558211180579986,14.0,11.2,0.42163702135578396,11.0,0.08121616363525386,0.031110716760404812,0.0694950103759765,0.07000642300692796,0.04271317425007771,0.0530653657783154,-62.33536224552735,-25.945387033725897,0.11272727272727265,0.13393939393939386,12.8,15.6,11.0,11.5,0.06316374622691757,0.0988499138571999,0.045793026714876665,0.09680359440086007
descriptive_baseline,0,2,45.5982593291492,2.9692299965264475,45.46728705296509,0.5,0.0,0.5,57.2,4.638007234913623,55.0,11.2,0.42163702135578396,11.0,1.3976145241477274,0.06344196975171877,1.383154296875,1.831382798629349,0.06544972372876094,1.8090375421023672,43.88977024907315,47.37907505971635,0.5,0.5,55.0,60.5,11.0,11.5,1.3642804398970168,1.4398604514382103,1.7992521418602987,1.8777989269382076
descriptive_baseline,0,3,47.02269014911333,5.255986693040821,45.88558144334081,0.49909090909090914,0.002874797872880345,0.5,57.1,4.701063709417263,55.0,11.2,0.42163702135578396,11.0,1.3721823952414773,0.04664100859784031,1.3641845703125,1.7722141574187753,0.09506705922295353,1.7982748075076687,44.470074556403084,50.28285268472578,0.49727272727272726,0.5,54.8,60.4,11.0,11.5,1.3461496693004262,1.401286571155895,1.71224120241979,1.822781888901421
descriptive_baseline,0,4,19.989260249101854,11.238656627892615,17.721920972148006,0.43015151515151506,0.008760843121921411,0.4295454545454545,49.2,3.9665266081716037,48.0,11.2,0.42163702135578396,11.0,1.1976380504261364,0.03579466703758746,1.2025878906249998,1.8718579700570122,0.10993459155250387,1.8622811884787611,13.91497375810002,26.510214373522285,0.42499999999999993,0.43499999999999994,47.1,51.8,11.0,11.5,1.1772296808416192,1.2166640624999998,1.8150029121070606,1.9480260754845664
descriptive_baseline,0,5,0.9513662159424282,17.832156298646648,3.742715703367846,0.30333333333333334,0.022116368640919204,0.3090909090909091,34.7,3.7133393177689658,34.5,11.2,0.42163702135578396,11.0,0.65525390625,0.044070959939889305,0.67188720703125,0.9768786803197397,0.10810942860823688,1.004329385370924,-10.281869484001813,11.096152615779365,0.2915113636363636,0.3165151515151515,32.6,36.8,11.0,11.5,0.6292952270507812,0.6780822143554687,0.9155833441609452,1.0368934799435636
descriptive_baseline,0,6,43.85838808194281,6.2487259681260765,45.438321642391045,0.46121212121212124,0.007531859346386802,0.4636363636363636,52.8,4.8944412914607085,51.0,11.2,0.42163702135578396,11.0,1.1822966974431819,0.07656596207493588,1.1670166015625,1.7767806849083272,0.1527184839131801,1.734710721466177,39.8885148749105,47.60308458917719,0.45636363636363636,0.46515151515151515,50.3,56.1,11.0,11.5,1.138328125,1.2285981889204547,1.6856194392339847,1.8723317199706961
descriptive_baseline,0,7,-8.59286553974171,16.9056522367324,-13.61130834843754,0.26848484848484844,0.045126764282481795,0.2765151515151515,30.7,5.478239782184704,33.0,11.2,0.42163702135578396,11.0,0.49168479225852274,0.07280676102315636,0.492022705078125,0.5935266716546185,0.14772065281508595,0.5501200451728837,-18.091866973432285,1.7612129263933836,0.24045075757575754,0.2922840909090909,27.2,33.7025,11.0,11.5,0.44540202331542966,0.5369419014670632,0.516956102692836,0.6985316206983386
descriptive_baseline,0,8,49.49341455528067,5.564154538887646,49.48816955620282,0.4713636363636364,0.016388091216522137,0.4772727272727273,53.9,4.38304815295373,53.0,11.2,0.42163702135578396,11.0,1.1975972123579546,0.07839737621750545,1.2152965198863637,1.5242531099183734,0.16295800224944323,1.559762811539902,46.08978624438697,52.86505580268421,0.4613636363636363,0.4796969696969697,51.4,56.6,11.0,11.5,1.148702226118608,1.2462387029474429,1.4204691752574847,1.6168415249113066
descriptive_baseline,0,9,49.46955118070442,9.600239427797336,52.02879506482404,0.4948484848484848,0.007149631664317729,0.5,56.6,4.501851470969101,55.0,11.2,0.42163702135578396,11.0,1.270122958096591,0.04738100671474916,1.2664062500000002,1.8940560184949677,0.07005806855915438,1.8874464353428484,43.233024443343496,54.56778994152271,0.49030303030303024,0.49849999999999994,54.3,59.6,11.0,11.5,1.2420662286931816,1.2965053267045454,1.8570681205529922,1.9352526756789408
