prompt_class,layer,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,8,44.59840777515286,19.252882908757826,49.16342202830286,0.47714646464646465,0.04833444623837709,0.5,55.65833333333333,7.6471512060784805,55.0,11.3,0.46017899330842243,11.0,1.2500498486078824,0.1824037636852356,1.2943653583526609,1.6306619899905634,0.21151210250850758,1.6560454613828637,40.672408380638345,47.944857123181656,0.4673469065656566,0.4853797348484849,54.083333333333336,57.016875,11.216666666666667,11.383333333333333,1.2164206065114755,1.2815818174650442,1.5909055922764173,1.6665128602080141
descriptive_baseline,11,49.71237418958963,10.43798433336718,50.34180542529319,0.48546717171717174,0.021369325288031683,0.4909090909090909,56.575,5.231871461685265,55.0,11.3,0.46017899330842243,11.0,1.2768625695382556,0.11211366715355225,1.28887942135334,1.6659308272130844,0.1558912560678248,1.701733510637969,47.81543367746985,51.48935222429561,0.48160321969696973,0.4891676136363637,55.61625,57.558749999999996,11.216666666666667,11.383333333333333,1.2579510955943471,1.2968197309138594,1.6380569642722784,1.6937830829095644
logical_relational,8,59.644040684620244,26.879780019311635,56.08211739221302,0.4598882395554222,0.052626872872173235,0.48418248418248416,83.2,35.292439736025734,66.0,13.8,2.9721395400246857,13.0,1.3537110305401172,0.23436127329614695,1.3665369272232057,1.85307276486559,0.319922451082693,1.85249809189538,54.75194414095313,64.12776128027566,0.45014688231087213,0.4686659519316253,76.91645833333334,89.195,13.274791666666667,14.308541666666667,1.311219692578814,1.394653702980768,1.7957704254805609,1.9075910527899709
logical_relational,11,70.05310235299478,24.79705530602825,63.31487366169604,0.4881360269131167,0.023508161986762602,0.5,88.96666666666667,37.63378004612645,76.5,13.8,2.9721395400246857,13.0,1.4892197632012538,0.15381174451282817,1.4883024701727674,1.8766100001507593,0.25483289205820675,1.870041688445061,65.71458432164204,74.2999421607551,0.48371707956431254,0.49216657247336426,82.18333333333334,95.56375,13.274791666666667,14.308541666666667,1.4617893608572714,1.5137914950903826,1.8316596806017091,1.9194195312895423
minimal_pair,8,47.90046998949115,17.166191498547164,44.512471819678964,0.4741992266992267,0.04007091975452775,0.4909090909090909,60.2,17.98393307203671,55.0,11.7,1.683334026679837,11.0,1.2672481579596038,0.19691726353522163,1.2818663252724543,1.6667022089755257,0.27740319897272586,1.6949271296412,44.75448715115818,51.160297828843376,0.4667458004958005,0.4815527516465017,57.183125,63.634166666666665,11.416458333333333,12.016666666666667,1.2312048965241604,1.3056606169219425,1.6211943883701032,1.718727571233802
minimal_pair,11,53.71514407457784,17.218293157011363,48.46753673310337,0.4949420024420024,0.01150390430971899,0.5,63.34166666666667,19.779242082722657,55.0,11.7,1.683334026679837,11.0,1.3663785909927142,0.13780492132811512,1.3412218107117548,1.6889412052802186,0.2294898330290991,1.70684224862014,50.84887440889371,56.92152536293159,0.4928276214526215,0.496881570975321,59.974583333333335,67.13416666666667,11.416458333333333,12.016666666666667,1.3418056980250883,1.391879085229887,1.6465581699644094,1.7284880036763999
semantic_abstract,8,33.485563981331175,13.934492104879805,36.035345679242795,0.4885879629629629,0.02265508572458658,0.5,41.31666666666667,4.342448934080633,44.0,9.7,0.4601789933084228,10.0,1.1641601705130327,0.13187429663697126,1.191568543513616,1.4924939074753387,0.17086716343563674,1.5282723148261241,30.97219486837837,35.894707079354646,0.4842586805555556,0.49226909722222223,40.55,42.066875,9.616666666666667,9.775,1.1389565070899617,1.188852585397954,1.4600195604639028,1.5241449060359742
semantic_abstract,11,36.555427450191814,5.995155021371241,36.998865297576515,0.49752314814814813,0.007404647108638733,0.5,42.083333333333336,4.104892210037,45.0,9.7,0.4601789933084228,10.0,1.226666606531513,0.0609511168148913,1.2320722453296185,1.5580769190983328,0.11539027303082694,1.5566446802237954,35.568417475122494,37.5414669553513,0.4962268518518519,0.4987962962962963,41.34979166666667,42.75833333333333,9.616666666666667,9.775,1.2166993518842868,1.2376688431869087,1.5374207028835345,1.5790774347758036
structured_nonlogical,8,40.38642284700416,17.881013240561316,43.251287811343545,0.47781986531986526,0.03835990654753565,0.4924242424242424,51.775,8.086156340916737,53.5,10.9,0.702935023354808,11.0,1.207315088834626,0.16192356764692414,1.2200412601232529,1.592996213140404,0.2014719418341564,1.6000978155972507,37.042881180611126,43.38608241536516,0.47030860690235693,0.4847900883838384,50.29958333333333,53.200625,10.766666666666667,11.033541666666666,1.1785029772658602,1.2368099631817906,1.5569532934570158,1.6307924086062056
structured_nonlogical,11,45.12150466499761,11.236610649104291,45.67435146675024,0.4917255892255892,0.015712963381494117,0.5,53.28333333333333,7.354394254181541,54.0,10.9,0.702935023354808,11.0,1.2850262082555026,0.11163744779320205,1.2891060501337053,1.6403503195172724,0.1713544503335229,1.6576963180370718,43.17223425192421,46.95545257751532,0.4889477062289562,0.4945333543771044,51.90770833333333,54.6925,10.766666666666667,11.033541666666666,1.2666958667820176,1.3047999097312666,1.6103898395742764,1.6683163321009609
