prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,11,0,46.757045054298246,3.9085029176320414,45.9686252598096,0.5,0.0,0.5,58.3,5.313504806936128,55.0,11.3,0.48304589153964794,11.0,1.4130322111736644,0.06103228703093821,1.4053346753120421,1.7744177597111506,0.09741003395575175,1.7794211811447402,44.50467240024526,49.030982552378646,0.5,0.5,55.0,61.6,11.0,11.6,1.3777911135933616,1.4515910189842633,1.7118478166261175,1.8274321921842585
descriptive_baseline,11,1,53.87189470697297,5.7075300999705645,53.79121161561388,0.4907575757575757,0.00419222342817115,0.4909090909090909,57.2,4.93963561409139,54.0,11.3,0.48304589153964794,11.0,1.2817961785739118,0.07924879164567152,1.2848032355308534,1.6023613619434667,0.15812040203490574,1.624967929354338,50.42711997706488,57.47455772313856,0.48848484848484847,0.49318181818181817,54.3,60.4,11.0,11.6,1.2387228224521334,1.3283945235291668,1.5063194929651196,1.6845766871217465
descriptive_baseline,11,2,49.757136687024406,6.630825183496963,48.993296142554485,0.4880303030303031,0.01575320452190307,0.4954545454545455,56.9,5.4660568765589845,55.0,11.3,0.48304589153964794,11.0,1.2949346827918835,0.06504643445728518,1.2914898931980132,1.654978452561102,0.1582774451987676,1.6473084520349446,45.70915194908824,53.687099388856566,0.47757575757575754,0.4963636363636364,54.1,60.4,11.0,11.6,1.2566994673934848,1.333529923315753,1.5628556944232124,1.745051292689236
descriptive_baseline,11,3,52.726046681314834,10.410206996321255,53.115799602105355,0.4906060606060606,0.011904630722089766,0.4954545454545455,57.2,5.349974039397035,55.0,11.3,0.48304589153964794,11.0,1.2813689015399325,0.08839512972671135,1.2755999899723314,1.731358048919083,0.15466347708522055,1.74687190453044,46.576485238608576,59.3409689625589,0.4836363636363636,0.49727272727272726,54.4,60.6025,11.0,11.6,1.2330473418310284,1.335363370155069,1.6404607833211888,1.8165811960606004
descriptive_baseline,11,4,52.81825242428363,7.448539302228823,50.645458713910486,0.5,0.0,0.5,58.3,5.313504806936128,55.0,11.3,0.48304589153964794,11.0,1.3577116936987097,0.029964718915217847,1.37009419798851,1.783685587430855,0.060282439929733006,1.7975896297098486,48.39210056433181,57.43638171562738,0.5,0.5,55.0,61.6,11.0,11.6,1.3413566327718172,1.374147423137318,1.74594200196772,1.8206716506852114
descriptive_baseline,11,5,50.60416354904693,5.98358289934217,50.17910629670228,0.4821212121212121,0.013529321737578363,0.4818181818181818,56.2,5.181162460726785,54.0,11.3,0.48304589153964794,11.0,1.288361362760717,0.07505386935237517,1.3053803503513337,1.6803032221988619,0.16825854743728724,1.6973168455867544,47.37941890727963,54.27220062581984,0.47378409090909096,0.48999999999999994,53.5,59.5,11.0,11.6,1.2409020995633169,1.3316089075194164,1.5754763363319653,1.7769250727639485
descriptive_baseline,11,6,50.95280562206719,4.154104381583387,52.16996173828167,0.49348484848484847,0.009036029639716298,0.5,57.5,4.813176359397887,55.0,11.3,0.48304589153964794,11.0,1.347184312831272,0.06566159358525651,1.3278327660127118,1.7676429839131995,0.10689666090218916,1.7717448883653346,48.39213978323677,53.324614805322035,0.48772348484848493,0.4984848484848484,54.8,60.5,11.0,11.6,1.3129820265742864,1.3911606504348193,1.7093269492272272,1.8363290333275866
descriptive_baseline,11,7,49.74709204756153,9.810691363879434,49.821661430067905,0.4843939393939394,0.008865039170698018,0.4833333333333333,56.5,5.502524673073057,54.0,11.3,0.48304589153964794,11.0,1.271030354472724,0.07622034959953679,1.2694508224725722,1.5802372234741227,0.13337701102342434,1.5919182069010618,43.95945661837264,55.05327675678386,0.4795454545454546,0.48954545454545456,53.5,59.9,11.0,11.6,1.2256587045551703,1.3173135929974642,1.4956459331649232,1.6532569727342261
descriptive_baseline,11,8,57.22988590867459,5.877591443703727,55.9594356430343,0.4904545454545454,0.011824007887955559,0.4954545454545455,57.2,5.553777493242276,55.0,11.3,0.48304589153964794,11.0,1.2355621505867351,0.07121946865450461,1.2546346455812456,1.6314918506258593,0.10427039731021118,1.635450476426732,54.0051073120587,60.67119272424321,0.4831818181818182,0.49727272727272726,54.197500000000005,60.7025,11.0,11.6,1.1936415268778802,1.2786754173175856,1.5685143745502899,1.693825000273913
descriptive_baseline,11,9,51.52745279496037,3.943541003283633,50.9686841457531,0.4875757575757576,0.013529321737578351,0.4909090909090909,56.8,4.756282395129858,55.0,11.3,0.48304589153964794,11.0,1.3024802258881656,0.08465296155536653,1.28887942135334,1.6280171721517125,0.1743425241224176,1.6812066535829158,49.149585285396974,53.97764815290832,0.4781818181818182,0.495,54.3,59.9,11.0,11.6,1.2548961583145641,1.3539576957347719,1.523590305452678,1.7247303535342962
descriptive_baseline,11,10,48.90634745826658,14.582872924957721,50.93193190599971,0.48045454545454547,0.016010180670865765,0.47954545454545455,56.0,5.14241620684717,55.0,11.3,0.48304589153964794,11.0,1.2032983872429892,0.0666460401843394,1.2034230180084706,1.6570581416431913,0.1066308986461623,1.6526091308700006,39.21375293843985,56.33863436998723,0.4709090909090909,0.48999999999999994,53.2,59.2,11.0,11.6,1.16465917729925,1.241610093600032,1.594738828657269,1.7212922846747758
